Species Name,Species Description
"EUROPEAN OAK 
","European Oak has long been associated with strength and durability. It is an incredibly versatile wood. 
We use Northern French, German and Polish Oak as their cooler climates encourage slower growth. 
Arboriculture is tree farming and these countries have been growing trees for harvesting for 1000’s of years. They have a tree strong culture and a huge amount of expertise in this area. 
We still saw all of our Oak in in the traditional method, this is either called through and through sawn or live sawn. It produces the best mix of grain across your floor including plain sawn, rift sawn, quarter sawn and even some boards with the heart down the middle and quartering either side. 
Grade is an important consideration. An understanding of what is and what is not permitted in each grade is crucial. Knots, sap, colour variation, small and large splits all play a part. 
Rustic, Nature, Prime, Rift, Quarter sawn grades available. Specialist saw cuts are also available and these include both Rift or Quarter Sawn. 
"
"ENGLISH OAK 

ANTIQUE ENGLISH OAK 
","Woodworks runs a special program working with English Oak. As wood people we have many decades of experience and we have a deep appreciation for the materials we work with. This appreciation is most felt in the English Oak we work with. 
English Oak really is the very best Oak in the world, it is different, it is majestic and it means allot to us. It is a privilege to work with and our pact with it is simple – we will make it shine. 
We only work with a few very special logs each year and these logs have to meet a very strict criteria. The need to be very large logs with a diameter of over 1mm, they need to be very long – and they need to be of the finest quality. 
The floors we make out of English Oak are all quarter sawn and this ancient method of sawing Oak, creates not only the most stable cut, but it is also the most beautiful. The grain is so much finer and many of the boards are treated to lovely thick medullary rays that silver across each width. 
The result is a stunning floor, a floor that needs to be understood to be appreciated. Our quarter sawn English Oak floors really are a thing of beauty. 
"
"FRENCH OAK 
","Our French Oak comes from France, and is the unique element in our Aged collection. 
We chose this French Oak for its broad open grain, soft tone and a characterful array of knots & burrs. We traditionally through and through or live saw to produce a great array for grains across your floor. 
Antique plancher du Quercy is the French name for our Aged Oak floors. 
"
"RECLAIMED OAK 
","Reclaimed Oak is known for its historical impact, beauty, stability and strength. It’s also amongst the most sustainable materials available. 
Having been part of projects across the world – be it a pier, a Victorian textile mill, a government building, or a row of terraced houses for example – we reclaim and fully restore our oak before transforming it into a Woodworks floor. 
Originally from old-growth or primeval growth forests. 
"
"ANTIQUE FRENCH OAK 
","France has a long history of Arboriculture with Oak being farmed for 1000’s of years. 
This lead to a refining of the best varieties of Oak for ship building, cask making, joinery and flooring. 
Old French Oak is mystical, it has an ora and an international reputation. To put it simply : French Oak + old age = magical. 
Looking at old Oak is like looking at old maps or drinking old wine – there is so much to explore your sensations are almost over loaded... how was it sawn, what had happened here or there. Wooden nailed, or sometimes no nails at all. 
Watching it come alive as it is restored, seeing its thick patina polish to leather. Yes it is old and it has great history, sometimes many centuries, often less, but this matters less than its beauty. These floors are like old master paintings – old yes, but things of beauty first. 
 
"
"AMERICAN RED OAK 
","Red Oak is a tree native to North America and is an popular choice for furnishings and woodworking across the continent. 
Popular for solid Woodstrip floors in North America. Has a rich autumnal tone but is less durable than its English counterparts.  This tall straight grained Oak grows across the entirety of the United States. It can be accommodated in a broad variety of growing conditions. 
The strong, heavy wood has light to medium brown colours throughout with a straight grain pattern. 
It is prone to larger knots at lower sections of the tree and not just one large branch not higher up as in European Oak. This makes longer, wider widths without large knots difficult to achieve. 
It is less prone to fading due to lack of tanins, that are more predominant in European Oaks. It will also not fume to a darker tones due to a lack of tannins. 

"
"PIPPY BURR OAK 
","Pippy Oak has small distinctive ‘cats paw ’ knots which appear throughout the wood. 
These clusters of small knots are rarely seen in Oak and are a desirable and distinctive feature. 
The clusters range from a few small knots to deep clusters of many knots together. Burrs in Oak are sought after and provide for a more decoration. 
They are formed from the small whiskers that grow on the outside of Oak trees & these burrs are their roots that run deep into the tree. 
"
"ENGLISH YEW 
","English Yew is considered one of the hardest woods of all softwood species and is one of the oldest European trees, ranging from 400-600 years old. 
It is very slow grown with a very high concentration of growth rings per inch. 
The wood is not like other pines as it does not grow with a solid dense trunk. There are lots of gaps, called inclusions in Yew material, making it very difficult to produce long continuous lengths. Orange-brown heartwood with interesting grain patterns across the large proportions. 
It is toxic to ingest and its leaves are used a cure for cancer. 
"
"PITCH PINE /
RECLAIMED PITCH PINE 
","Pitch Pine also known longleaf Pine is a truly remarkable wood. 
Pine has a negative connotation as we think of pine as being something soft, light and of little value. To think of Pitch Pine as being like the pine we know is to truly misunderstand this wood. 
It is more akin to Mahogany – it is a majestic wood. It is harder than Oak, heavier than Mahogany, it is tighter grained and slower grown than any wood we know. It is full of magic resin that glows when you shine a light through it . It has the aroma of the exotic : sweet and sophisticated. 
It is as strong as steel, resistant to decay, woodworm and termites. 
No doubt Native Indians used it’s resin for every manner of medicines, treatments, for preserving, weatherproofing and much else that is long forgotten. 
That’s the best bit and the worst bit..it was mostly all gone over 100 years ago. 
Now a rare wood, an estimated 100 million acres of virgin forest stretching from the Carolinas down to Florida made way for farms, roads, cities and by 1900 it was mostly gone. 
Great Britain was the biggest customer for much of the very best of this material and fortunes were made in North American from this buoyant trade. The only remnants of this wondrous wood are found in the buildings from our built industrial heritage. From the workshops, factories and docklands of our Victorian ancestors. 
When we do find this wonderous wood, the least we can do is respect it for its majesty and make truly wonderful floors out of it. The effort of hauling it, grappling with nails stuck tight to its grain, sawing through what feels like steel. 
The disappointments of wasted wood, bolt holes and all manner of other surprises fall into insignificance when you see the final result. 

Northbank Pitch Pine, Rare Finds 
If a wood could be one of the seven wonders of the world the finest Old Pitch Pine would be it. 
"
"DOUGLAS FIR 
","Named after Peter Douglas who introduced this wood to England in 1827 
Originating from the western coast of Canada. This evergreen pine grows in dense forest areas and has naturalised throughout Europe and South America. 
The tree’s heartwood produces a light pink tone with a wide circling grain pattern, and inside you’ll also find tight growth rings. 
The broad open grain and its neutral appearance once finished is the design appeal for this material. 
It is also important to add that it is not a dense wood. It is much softer than Oak and its density makes it prone to shrinking particularly in a solid format. 
It is also can also be called Columbian Pine or Oregon Pine. 
"
