Collection,Code,Product Varitation,Product group,Design Variation,Species,Grade,Construction,Profile,Texture,Finish,Edge,Certification
AGED,PDQ026,Arley Random Width Plank,Arley,Random Width Planks,Aged French Oak,Rustic,2Ply Engineered,Tongue & Grooved & Ends Matched,Hand Polished Undulations,Burnished Hardwax Oil Satin,Hand Rolled Edges, UKTR Compliant
AGED,PDQCH05,Assier Chevron,Assier,Chevron   ,Aged French Oak,Rustic,2Ply Engineered,"Tongue & Grooved, Ends Loose Tongues","Skip Sawn, Scrubbed Knots & Undulating Texture",Burnished Hardwax Oil Satin,Soft Rolled Edges, UKTR Compliant
AGED,PDQ005,Assier Extra Wide Plank,Assier,Extra Wide Plank ,Aged French Oak,Rustic,2Ply Engineered,Tongue & Grooved & Ends Matched,"Skip Sawn, Scrubbed Knots & Undulating Texture",Burnished Hardwax Oil Satin,Soft Rolled Edges, UKTR Compliant
AGED,PDQB005,Assier Herringbone,Assier,Herringbone   ,Aged French Oak,Rustic,2Ply Engineered,Grooved 3 Sides,"Skip Sawn, Scrubbed Knots & Undulating Texture",Burnished Hardwax Oil Satin,Soft Rolled Edges, UKTR Compliant
AGED,PDQP005,Assier Parquet de Versailles ,Assier,Parquet De Versailles Panel,Aged French Oak,Rustic,2Ply Engineered,Tongue & Grooved & Ends Matched,"Skip Sawn, Scrubbed Knots & Undulating Texture",Burnished Hardwax Oil Satin,Soft Rolled Edges, UKTR Compliant
AGED,PDQ024,Baslow Random Width Plank,Baslow,Random Width Planks,Aged French Oak,Rustic,2Ply Engineered,Tongue & Grooved & Ends Matched,"Gently Worn, Skip Sawn, Scrubbed Knots",Organic Lacquer,Soft Rolled Edges, UKTR Compliant
AGED,PDQ025,Brantwood Random Width Plank,Brantwood,Random Width Planks,Aged French Oak,Rustic,2Ply Engineered,Tongue & Grooved & Ends Matched,"Smooth Sanded, Gentle Undulations ",Organic Oil Super Matt,Hand Rolled Edges, UKTR Compliant
AGED,PDQCH03,Champagney Chevron,Champagney,Chevron   ,Aged French Oak,Rustic,2Ply Engineered,"Tongue & Grooved, Ends Loose Tongues","Skip Sawn, Scrubbed Knots & Undulating Texture",Burnished Hardwax Oil Matt,Soft Rolled Edges, UKTR Compliant
AGED,PDQ003,Champagney Extra Wide Plank,Champagney,Extra Wide Plank ,Aged French Oak,Rustic,2Ply Engineered,Tongue & Grooved & Ends Matched,"Skip Sawn, Scrubbed Knots & Undulating Texture",Burnished Hardwax Oil Matt,Soft Rolled Edges, UKTR Compliant
AGED,PDQB003,Champagney Herringbone,Champagney,Herringbone   ,Aged French Oak,Rustic,2Ply Engineered,Grooved 3 Sides,"Skip Sawn, Scrubbed Knots & Undulating Texture",Burnished Hardwax Oil Matt,Soft Rolled Edges, UKTR Compliant
