Collection, Product Groups
AGED,"Arley, Assier, Baslow, Brantwood, Champagney, Chevry, Lauzes, Mauroux, Miellin, Quissac, Rouby, Velentre, Villes, Charente"
ANTIQUE,"Babington, Dampier, Fortnum, Franklin, Layton, Livingstone, Macaulay, Mayer, Merrain, Ruskin, Charlotte"
BOLD SURFACES,"Bodega, Capitol, Ceruse, Claremont, Empire, Eternity, Fable, Fontaine, Hip, Minette, Orleans, Quincy, Rivet, Scout, Temno, Tempest, Thread, Tully, Yarn, Sepia, Denim, Bisque, Merlot, Fossil"
CARBONISED,"Agate, Augite, Cinnabar, Garnet, Hematite, Hornblende, Jet, Moth II, Obsidian, Oyster II, Pearl, Quartz II, Zircon"
EDITIONS,"Abbot, Aversley, Breton, Cassava, Cladonia, Coast, Cowdray, Dovecote, Espresso, Floret, Heath, Kingham, Loft, Monroe, Otis, Pendower, Peteril, Ralston, Ristretto, Rivelin, Sienna, Tolland, Winster"
ENGLISH NATIVE TIMBERS,"Elias, Elswick, Forecastle, Galion, Roebuck, Argyll"
PARQUETRY,"Coronet, Inca, Leda, Callista, Deimos, Cressida, Celestial, Dorado, Aquila, Ringlet, Jacobin, Sapphire, Lacerta, Hera, Iris, Nyx, Eris, Rhea, Selene, Rosnay, Freya, Maeve, Niamh"
RARE FINDS,"Bleached English Estate Oak , Bridgewater Pine, Burmese Dark Teak Plank, Burmese Teak Plank, Cotton Mill Pine , Indonesian Bleached Teak Plank, Indonesian Teak Plank, English Estate Oak , French Estate Organic Oak Plank , French Estate Organic Oak, Kings Cross Jarrah , Northbank Bleached Pitch Pine, Northbank Pitch Pine, Old War Office Bleached Pine, Old War Office Pine, Reims Antique Oak , Reims Antique Organic Oak, French Estate Oak , Swiss Stone Pine "
SUPERFINE,"Auga, Babylon, Caurica, Cavoline, Clifton, Cowry, Cyphoma, Delphis, Distorsio, Japelion, Jopas, Lyria, Melo, Natica, Nerite, Opihi, Praya, Purpura, Pyram, Risso, Simnia, Solarelle, Triton, Tugalia, Velutina, Volute"
SUPERWIDE,"Ebony, Ecru, Egret, Ibis, Linen, Nimbus, Pewter, Sable, Sand, Stratus, Truffle"
URBAN,"Brooklyn, Dalston, Gaslamp, Hoxton, Kentish, Manhattan"
